,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
222,hypergraph_not_selfdual_2025_09_29_18_46_11_5_0,10000,100,2.016,0.2123,0.003890421547974206
223,hypergraph_not_selfdual_2025_09_29_18_46_10_9_1,10000,5,1.23545,0.0256,0.021938740965078325
224,hypergraph_not_selfdual_2025_09_29_18_46_19_9_0,10000,100,2.1973,0.0,inf
225,hypergraph_not_selfdual_2025_09_29_18_46_09_9_0,10000,5,1.3093,0.0002,3.014473174740956
226,hypergraph_not_selfdual_2025_09_29_18_45_46_7_1,10000,200,3.1336,0.0257,0.0554261531335096
227,hypergraph_not_selfdual_2025_09_29_18_46_20_9_1,10000,20,1.4515,0.0025,0.2670418213394495
228,hypergraph_not_selfdual_2025_09_29_18_45_40_9_1,10000,20,1.37685,0.0,inf
229,hypergraph_not_selfdual_2025_09_29_18_45_35_7_0,10000,100,2.0563,0.0228,0.041058082956660004
230,hypergraph_not_selfdual_2025_09_29_18_46_15_7_0,10000,100,2.0044,0.9998,0.00010837611538619504
231,hypergraph_not_selfdual_2025_09_29_18_46_47_8_0,10000,200,3.1293,0.0123,0.11644023457282618
232,hypergraph_not_selfdual_2025_09_29_18_45_31_5_0,10000,100,2.01225,0.2291,0.0035614428298172546
233,hypergraph_not_selfdual_2025_09_29_18_45_39_9_0,10000,100,2.1766,0.003,0.33361901592244436
234,hypergraph_not_selfdual_2025_09_29_18_46_13_6_0,10000,100,2.05965,0.0477,0.019406662327688305
235,hypergraph_not_selfdual_2025_09_29_18_46_28_8_1,10000,5,1.2016,0.0113,0.04869246543343966
236,hypergraph_not_selfdual_2025_09_29_18_46_50_9_1,10000,200,3.1786,0.0002,7.318265052494922
237,hypergraph_not_selfdual_2025_09_29_18_45_28_8_1,10000,20,1.3288,0.0029,0.2107059582951329
238,hypergraph_not_selfdual_2025_09_29_18_46_48_8_1,10000,20,1.3574,0.0019,0.3286904012123676
239,hypergraph_not_selfdual_2025_09_29_18_45_55_7_0,10000,20,1.291,0.0216,0.027226074351073236
240,hypergraph_not_selfdual_2025_09_29_18_46_35_7_0,10000,20,1.17755,0.9997,6.685157708465377e-05
241,hypergraph_not_selfdual_2025_09_29_18_45_33_6_0,10000,100,2.1112,0.0323,0.029611637006017644
242,hypergraph_not_selfdual_2025_09_29_18_45_38_8_1,10000,100,2.1479,0.0028,0.3527710909982158
243,hypergraph_not_selfdual_2025_09_29_18_46_11_5_0,10000,5,1.08835,0.2173,0.0020456809631970315
244,hypergraph_not_selfdual_2025_09_29_18_45_58_8_1,10000,5,1.1742,0.007,0.07697775438099533
245,hypergraph_not_selfdual_2025_09_29_18_46_46_7_1,10000,100,2.10375,0.0143,0.06726356914216543
